CUMUN,LON,LAT
6903,-6.690833,38.930278
10904,-5.466670,40.016700
15902,-8.200000,43.166667
18065,-3.551944,37.473611
18914,-3.823611,37.234444
4904,-2.908333,36.746667
10905,-5.378956,40.060472
18915,-3.508333,37.497222
18106,-3.910000,36.934722
29903,-5.296667,36.815278
29904,-4.974444,36.888333
36902,-8.481944,42.471944
11903,-5.320278,36.344167
14901,-5.155000,37.670000
14902,-4.864472,37.637917
18077,-3.855278,36.954444
18916,-3.485833,36.701944
21902,-6.855889,37.71375
41904,-5.806319,37.063281
