CPRO,LON,LAT
01,-2.69468098284624,42.8530700468851
02,-1.85455818628903,38.9244808200481
03,-0.535963693648153,38.4110326426299
04,-2.46176701362279,36.9744894824685
05,-4.93293657078931,40.6192322865215
06,-6.35129455490369,38.7428566174233
07,2.73737944897193,39.5459740223702
08,2.11755584014892,41.4840621905914
09,-3.58499140900582,42.2854824013819
10,-6.15008293017327,39.764691654578
11,-5.96979999663523,36.5080945170749
12,-0.0949886822595294,40.0555899460808
13,-3.64998693185708,38.9612670016271
14,-4.73168325109724,37.8202098419974
15,-8.4809353645676,43.1718540961552
16,-2.23779788917616,39.906639868728
17,2.7993590705179,42.0520726715469
18,-3.53272165304922,37.1635071246879
19,-2.82268896720785,40.7695695827437
20,-2.0895800417507,43.2329465267803
21,-6.88381721984227,37.4071010609295
22,-0.0649138306833376,42.129948330015
23,-3.61588270221358,37.9200486567778
24,-5.85042102624898,42.5673367545488
25,0.923568808979978,41.8172506260762
26,-2.50435840533875,42.3780670620276
27,-7.50833121970581,43.0654095424766
28,-3.69882207637879,40.4148021330113
29,-4.55496318627563,36.7062583226323
30,-1.22296221804613,37.9153347741349
31,-1.7071893291378,42.6885953826547
32,-7.75687430540636,42.2688390111576
33,-5.82218583953998,43.4172707089815
34,-4.53923739936447,42.2640898584356
35,-15.1837604726508,28.1622977953235
36,-8.65014415147566,42.3276289314254
37,-5.88443939421391,40.8277805430387
38,-16.598875537922,28.4017791891303
39,-3.86490885998623,43.367399666405
40,-4.06400697045709,41.1465138474302
41,-5.85552797465384,37.3721995792829
42,-2.52207397013662,41.6793316971373
43,1.0357188306449,41.0985698386734
44,-0.833542012763775,40.6932115964187
45,-4.14161339461662,39.8812196713714
46,-0.433874029206447,39.3808386103556
47,-4.77069497578397,41.6326420889717
48,-2.91180693523122,43.277955154546
49,-5.82430690641847,41.6990591639568
50,-1.04237683966716,41.6232757550995
51,-5.32434907372201,35.887466659578
52,-2.94623370284791,35.2884761280644
